# rascl_task1_format=2
# poses_sha256=33ae0f2c13fe99f6de43f9b82851c33899ce7b868fd31bacb30c249ffe689d90
# urdf_sha256=9ee9403a898d597691f8a780caeea9454e8ac2044fc6fc26227bed67d79798b4
# gripper_mode=simulation
# target_z_correction_m=0.0
# cube1_start_z_correction_m=0.0
# cube2_3_start_z_correction_m=0.0
# cube3_buffer_z_correction_m=0.0
# goal_z_correction_m=0.0
time,shoulder_joint,upperarm_joint,lowerarm_joint,end_effector_joint,gripper,segment
0.0,0.0,0.0,0.0,0.0,0.0,pick_ready_to_above_cube3_start_open
0.05,1.879962450496678e-06,9.489222006653777e-07,8.980780906627635e-06,0.0,0.0,pick_ready_to_above_cube3_start_open
0.1,1.4813430799909828e-05,7.477167084023927e-06,7.076533707060602e-05,0.0,0.0,pick_ready_to_above_cube3_start_open
0.15000000000000002,4.9237855195201435e-05,2.4853099536924134e-05,0.0002352144797910913,0.0,0.0,pick_ready_to_above_cube3_start_open
0.2,0.00011493111679982811,5.8012163088581424e-05,0.0005490381890662719,0.0,0.0,pick_ready_to_above_cube3_start_open
0.25,0.00022102526881423117,0.00011156381577219569,0.0010558612559121406,0.0,0.0,pick_ready_to_above_cube3_start_open
0.30000000000000004,0.0003760202774963261,0.00018979846598656856,0.0017962889246812635,0.0,0.0,pick_ready_to_above_cube3_start_open
0.35000000000000003,0.0005877977631819917,0.00029669440835772043,0.0028079725353815474,0.0,0.0,pick_ready_to_above_cube3_start_open
0.4,0.0008636347413055607,0.00043592475960050833,0.004125675165995015,0.0,0.0,pick_ready_to_above_cube3_start_open
0.45,0.00121021736342031,0.0006108643943802435,0.005781337274796576,0.0,0.0,pick_ready_to_above_cube3_start_open
0.5,0.0016336546582189479,0.0008245968811743078,0.0078041423426727895,0.0,0.0,pick_ready_to_above_cube3_start_open
0.55,0.0021394922725541062,0.0010799214181337715,0.010220582515440639,0.0,0.0,pick_ready_to_above_cube3_start_open
0.6000000000000001,0.0027327262124588287,0.001379359768945011,0.013054524246166304,0.0,0.0,pick_ready_to_above_cube3_start_open
0.65,0.0034178165841670604,0.0017251631986913252,0.01632727393748392,0.0,0.0,pick_ready_to_above_cube3_start_open
